0,1,2,3,4,5,
0.0387464,0.193956,2721.51,1301.12,0.308736,0.205248,
0.0322736,0.204379,2702.5,1295.02,0.30016,0.203936,
0.0333963,0.202804,2714.64,1295.05,0.29872,0.200096,
0.0324715,0.205837,2714.78,1301.01,0.29248,0.20256,
0.0324807,0.197785,2702.39,1301.01,0.296992,0.202432,
0.032542,0.201676,2702.27,1295.13,0.296,0.201024,
0.0315901,0.200935,2714.84,1294.98,0.29792,0.20224,
0.0316366,0.196034,2714.63,1301.02,0.297312,0.204,
0.0342783,0.204149,2702.46,1301.09,0.299232,0.202016,
0.0322962,0.196666,2702.27,1295.2,0.297312,0.204096,
0.0320212,0.202079,2714.68,1295.18,0.298272,0.203744,
0.0346972,0.197922,2714.62,1301.07,0.298592,0.20464,
0.0354595,0.198298,2702.29,1301.2,0.299584,0.201472,
0.031547,0.201347,2702.29,1295.18,0.299392,0.299392,
0.0318758,0.192759,2714.66,1295.19,0.298592,0,
0.0315452,0.198958,2714.81,1300.88,0.30048,0.204032,
0.0313949,0.196644,2702.32,1301.22,0.29904,0.203712,
0.03166,0.193913,2702.52,1295.04,0.293824,0.20128,
0.0319446,0.196638,2714.76,1295.1,0.297792,0.206944,
0.0396065,0.190604,2714.62,1300.98,0.298464,0.20416,
0.0380576,0.191047,2702.42,1300.97,0.298496,0.204704,
0.0384558,0.19697,2702.31,1295.26,0.29792,0.205088,
0.0439081,0.192927,2714.85,1295.04,0.298368,0.204192,
0.0422364,0.193507,2714.65,1301.06,0.298208,0.203808,
0.0430576,0.192957,2702.47,1300.95,0.299648,0.202944,
0.042978,0.192445,2702.31,1295.16,0.29328,0.205056,
0.0407707,0.196512,2714.65,1295.01,0.2976,0.204192,
0.0369754,0.190514,2714.63,1301.05,0.298048,0.203552,
0.0340148,0.195992,2702.33,1301.24,0.298336,0.204288,
